Word,Frequency
said,3481
court,1894
money,1682
also,1608
najib,1342
datuk,1240
charges,1222
laundering,1186
million,1170
bank,851
case,838
former,818
prosecution,766
minister,754
police,727
trial,709
would,702
public,670
government,669
involving,657
judge,652
two,636
funds,631
criminal,617
macc,595
act,577
account,574
prime,565
zahid,555
accused,541
years,537
high,532
malaysia,531
corruption,518
section,503
victim,487
one,482
mohd,481
seri,481
us,460
told,449
activities,446
charged,444
low,443
witness,437
sri,434
defence,426
prosecutor,419
deputy,418
chief,418
received,418
last,414
billion,413
statement,412
three,408
bhd,399
made,398
international,394
including,391
appeal,383
proceeds,383
year,377
investigation,374
tan,373
src,373
application,369
malaysian,369
accounts,363
financial,357
company,349
trust,348
counts,347
involved,343
law,340
new,337
jail,336
decision,335
breach,329
unlawful,314
four,314
shafee,312
could,303
time,300
five,299
abdul,296
people,295
facing,293
counsel,291
evidence,291
fine,290
financing,289
ahmad,288
federal,280
cases,280
commission,280
asked,277
lawyer,277
used,276
well,272
jho,270
guilty,270
first,267
power,266
country,265
umno,262
several,261
found,261
claimed,251
allegedly,249
department,248
officer,247
political,244
illegal,243
report,241
march,238
transactions,237
may,235
july,235
today,232
muhammad,230
given,228
make,223
call,223
president,220
alleged,220
bersatu,220
yayasan,219
party,219
another,218
crime,218
state,215
since,215
must,215
belonging,215
abuse,212
charge,211
dec,209
information,207
lead,207
position,206
parliament,205
never,204
sdn,201
saddiq,200
april,200
times,199
filed,198
abdullah,196
amounting,196
personal,196
member,195
syed,193
offences,192
amount,190
office,188
director,188
per,187
using,185
committed,184
even,184
collin,183
cbt,182
development,182
individuals,182
members,180
action,180
sequerah,179
believed,179
offence,179
tax,178
board,178
lawrence,178
later,177
still,176
order,175
general,174
fixed,172
related,172
client,172
take,170
cash,170
called,170
legal,170
ordered,169
arrested,169
millions,168
without,168
united,167
set,167
authorities,167
hearing,167
allowed,166
issued,166
kuala,166
june,164
sessions,164
documents,164
suspect,162
reported,160
feb,160
sentence,158
transferred,157
bribes,157
pay,157
companies,157
firm,156
business,156
assets,156
wan,155
justice,155
part,154
matter,154
proceedings,154
many,153
like,151
investment,151
due,151
senior,150
fund,150
continues,150
eight,150
lumpur,150
name,150
cent,150
based,150
use,149
total,149
cheques,148
worth,148
person,148
jan,148
oct,147
added,147
dr,147
team,146
media,144
help,143
need,143
day,142
get,141
back,140
services,139
banking,139
code,139
businessman,138
however,138
finance,138
parties,138
jalan,137
obtain,137
statements,137
witnesses,136
taken,135
investigations,135
convicted,135
investigated,134
foreign,134
nov,134
continue,133
akalbudi,132
various,132
receiving,132
pleaded,131
whether,131
enforcement,131
aug,131
sept,131
among,130
following,129
know,129
failed,128
ram,128
bail,128
sabah,128
foundation,128
muhyiddin,127
known,127
loan,126
online,125
wanted,125
testified,124
lim,124
represented,124
informed,124
totalling,124
national,124
linked,124
group,124
management,123
seven,123
ag,123
held,123
days,123
commissioner,122
led,122
confirmed,121
officers,120
agreed,120
countries,120
bernama,120
upon,120
penal,119
states,119
via,119
agencies,119
making,118
income,118
seeking,118
issue,118
civil,117
conviction,117
man,117
meeting,117
razak,116
ringgit,116
source,115
done,115
process,115
second,114
syndicate,114
transfer,114
support,113
arrest,113
previously,113
maximum,113
review,112
armada,112
goldman,111
way,111
lawyers,111
sentenced,111
anwar,110
number,110
family,110
needed,109
raja,109
term,109
executive,109
maybank,107
submissions,107
bribery,107
wife,107
home,107
good,106
right,106
ministry,106
credit,106
others,106
conference,106
adding,106
committing,105
project,105
world,104
letter,104
saying,104
details,103
within,103
took,103
according,103
go,102
put,102
six,102
fugitive,101
faces,101
revealed,101
property,101
seized,100
come,100
around,100
namely,99
enter,99
control,99
rosmah,99
carries,98
next,98
house,98
fraud,97
expected,97
monies,97
election,97
shahrol,97
clear,97
latter,97
end,96
obtained,96
private,96
nazlan,96
press,95
paid,94
relation,94
denied,94
scandal,94
provide,93
appointed,93
work,93
ng,93
give,92
investigating,92
earlier,92
islamic,92
thomas,92
system,92
digital,92
leaders,91
individual,91
suit,91
ensure,91
tahir,91
johor,91
deposited,90
see,90
interest,90
leissner,90
suspects,90
b,90
current,89
mohamad,89
return,89
yesterday,89
read,88
months,88
especially,88
involvement,88
face,88
berhad,88
singapore,88
cimb,87
officials,87
revenue,87
say,86
special,86
request,86
dnaa,86
false,85
payment,85
mohamed,85
less,85
security,85
dismissed,85
role,85
rafiq,85
place,84
north,84
lodged,84
branch,84
luxury,84
payments,84
assistant,84
issues,84
ibrahim,84
tun,84
argued,83
hisyam,83
chairman,83
came,83
drug,83
sc,82
become,82
seen,82
abu,82
card,82
misappropriating,82
provided,82
scam,82
woman,81
submitted,81
prison,81
misappropriation,81
instructed,80
released,80
raised,80
show,80
went,80
stated,79
singh,79
china,79
already,79
phone,79
nasional,79
crimes,78
passport,78
question,78
local,78
claiming,77
cheque,77
month,76
rozela,76
least,76
decided,76
mazlina,76
article,75
fact,75
commercial,75
afp,75
negara,74
irb,74
contacted,74
different,74
cards,74
force,74
date,73
key,73
real,73
yet,73
risk,73
brought,73
discharge,73
despite,73
agc,73
district,73
third,72
chambers,72
ongoing,72
pending,72
assist,72
heard,72
zeti,72
imprisonment,72
banks,72
conducted,72
far,71
judges,71
ruling,71
important,71
global,71
taek,71
august,71
inland,71
higher,71
granted,71
knowledge,71
much,71
written,70
sum,70
taking,70
hamidi,70
close,70
always,70
applied,70
recorded,70
present,70
sent,69
bukit,69
judicial,69
receive,69
going,69
stand,69
deal,68
want,68
instructions,68
secretary,68
social,68
ong,68
questioned,68
vehicles,68
bnm,67
move,67
trafficking,67
prosecutors,67
allow,67
victims,67
working,67
amlatfpuaa,67
relating,67
efforts,66
conduct,66
week,65
started,65
ambank,65
included,65
kept,65
named,65
serious,65
centre,65
papers,65
wealth,65
friday,65
entities,65
form,65
open,65
husband,64
organisation,64
projects,64
currently,64
appointment,64
laws,64
institutions,64
relevant,64
expressed,64
gave,64
value,64
nik,64
insurance,63
hong,63
monday,63
immigration,63
sought,63
claims,63
owned,63
detained,63
acquitted,62
nine,62
ruled,62
economic,62
leader,62
aziz,62
straits,62
forfeiture,62
hamid,61
believe,61
whichever,61
connection,61
previous,61
savings,61
headquarters,61
claim,61
fined,61
courts,61
aizuddin,61
faisal,61
nothing,61
integrity,61
regarding,61
conspiracy,61
notice,61
terrorism,61
together,60
tengku,60
sithambaram,60
authority,60
leave,60
properties,60
human,60
able,60
land,60
november,60
trade,60
knew,60
lewis,60
main,60
admitted,60
mahathir,60
nation,59
activity,59
attorney,59
items,59
operation,59
actions,59
abetting,59
contact,59
certain,59
poh,59
representation,58
capital,58
framed,58
therefore,58
fight,58
ali,58
allegations,58
bribe,58
change,58
opened,58
head,58
top,58
official,58
appeared,58
include,58
dpp,57
suspected,57
sachs,57
lost,57
left,57
sovereign,57
agency,57
separate,57
october,57
corporate,57
graft,57
pekan,57
gratification,56
plan,56
giving,56
donations,56
additional,56
teh,56
reports,56
kong,56
early,56
purchase,56
road,56
investigate,56
testimony,56
wildlife,56
testifying,56
registered,56
discharged,56
stay,55
ltd,55
hazem,55
tomorrow,55
post,55
secure,55
every,55
data,55
showed,55
long,55
access,55
faced,55
failing,55
putrajaya,55
scams,54
announced,54
youth,54
politicians,54
exchange,54
division,54
acquittal,54
committee,54
february,54
rahman,54
measures,54
men,54
established,54
city,54
instead,54
macau,54
parti,54
better,54
scheduled,54
saudi,54
penang,54
reason,54
though,53
reporters,53
think,53
task,53
became,53
full,53
prove,53
shah,53
returned,53
grounds,53
late,53
royal,53
service,53
directors,52
news,52
along,52
behind,52
amla,52
realised,52
line,52
policies,52
corrupt,52
omar,52
immediately,52
urged,52
loo,52
gambling,51
co,51
provides,51
illicit,51
focus,51
course,51
unit,51
cabinet,51
king,51
azhar,51
actually,51
carried,51
met,51
pandemic,51
enterprise,51
large,51
teo,51
recent,51
market,51
followed,51
pakatan,50
donation,50
sarawak,50
terms,50
agreement,50
korea,50
tried,50
list,50
teik,50
similar,50
sources,50
bench,50
complex,50
yab,50
outside,50
central,50
recently,50
saw,50
mp,50
multiple,50
son,49
mentioned,49
result,49
incident,49
azam,49
ask,49
means,49
cooperation,49
needs,49
ghazali,49
find,49
scheme,49
mazlan,49
technology,49
organised,49
possible,49
anything,49
morning,49
zaini,49
jamil,49
look,48
latest,48
tuesday,48
billions,48
free,48
charity,48
soon,48
economy,48
pn,48
views,48
start,48
benefit,48
document,47
hussin,47
happened,47
facts,47
manager,47
harapan,47
accepting,47
understand,47
calls,47
whipping,47
prevent,47
cryptocurrency,47
azeez,47
operating,47
best,47
bid,47
hope,47
towards,47
names,47
testify,46
children,46
shahrir,46
described,46
extradition,46
subsequently,46
yu,46
selangor,46
response,46
unknown,46
december,46
banker,46
might,46
discuss,46
muda,46
balance,46
transparency,46
governance,46
managing,46
inc,46
imposed,46
mansor,45
baru,45
declare,45
fair,45
file,45
meet,45
proceed,45
chinese,45
groups,45
author,44
handed,44
final,44
allowing,44
goh,44
past,44
hand,44
asset,44
smuggling,44
record,44
decide,44
audit,44
pribumi,44
managed,44
campaign,44
dollars,44
stop,43
count,43
aman,43
sector,43
suspicious,43
transaction,43
matters,43
building,43
meetings,43
exceeding,43
bakar,43
applications,43
avoid,43
serving,43
point,43
investors,43
almost,43
industry,43
view,43
council,43
began,43
enough,42
across,42
bad,42
mention,42
suggested,42
taman,42
staff,42
entrusted,42
dropped,42
ismail,42
necessarily,42
introduced,42
initially,42
businesses,42
operations,42
away,42
star,42
rights,42
reasonable,42
aabar,42
superintendent,42
finding,42
hassan,42
launder,42
recover,41
frozen,41
asking,41
deposit,41
bn,41
administration,41
travel,41
liow,41
necessary,41
anyone,41
perikatan,41
riza,41
remain,41
hear,41
affidavit,41
supply,40
relationship,40
run,40
opening,40
station,40
movement,40
panel,40
contended,40
applicant,40
defendants,40
something,40
january,40
contract,40
protection,40
personnel,40
major,40
bagan,39
rakyat,39
dark,39
parliamentary,39
got,39
forfeit,39
engaging,39
hakim,39
asia,39
remains,39
ph,39
attend,39
amanah,39
check,39
meant,39
signed,39
acting,39
ayob,39
datin,39
cheating,39
identified,39
yassin,39
questions,39
direct,39
address,39
required,38
motion,38
caused,38
scammers,38
comment,38
remand,38
approved,38
upheld,38
investments,38
influence,38
retirement,38
judgment,38
old,38
india,38
gobind,38
considered,38
dap,38
